Timestamp,What is your Grade Level?,Have you ever spent or been asked to spend real money on a video game?,How often do you make in-game purchases?,"If you have made in-game purchases, around how much money have you spent in total?",How much do you spend monthly on in-game purchases?,What do you usually buy?,What is your main reason for spending money in-game?,Do you feel in game purchases improve your enjoyment when playing games?,Do you try to budget yourself? How much monthly?,Have you ever spent more money than expected?,Which of the following would encourage you the most to buy?
2/3/2026 12:16:42,10,Yes,Rarely,$50,Nothing,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Personalization & Customization,Maybe,I don't spend money on games,Yes,Limited Time Items
2/3/2026 12:19:43,10,Yes,Sometimes,$1000+,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Donation (e.g. Twitch sub/Youtube member), Subscriptions, Downloadable Content (DLC)",Personalization & Customization,Maybe,$15 - 30,Yes,Customization
2/3/2026 12:20:21,10,Yes,Rarely,$10,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Faster progression,Yes,$1 - $5,No,Limited Time Items
2/3/2026 12:21:32,10,Yes,Rarely,$10,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Personalization & Customization,Maybe,$15 - 30,Yes,Faster Progression
2/3/2026 12:21:48,10,Yes,Rarely,$100,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Personalization & Customization,Yes,"I rarely spend money on games, so even monthly would be pushing it. I'd say I make an in-game purchase probably once every 3 or 4 months, and even then I usually won't go above $1 - 20.",No,Limited Time Items
2/3/2026 12:31:44,10,Yes,Sometimes,$50,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$1 - $5,No,Customization
2/3/2026 12:34:04,10,Yes,Rarely,$500,$1 - $10,Downloadable Content (DLC),Exclusive Content and items,Maybe,I spend money very wildly. Sometimes I spend $100 in a month and then go 10 months without spending a penny.,No,Sales or Discounts
2/3/2026 12:38:45,10,Yes,Rarely,$100,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Exclusive Content and items,Maybe,$1 - $5,No,Sales or Discounts
2/3/2026 12:46:41,10,Yes,Rarely,$100,$15 - $30,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$15 - 30,No,Sales or Discounts
2/3/2026 12:46:46,10,Yes,Rarely,$100,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Donation (e.g. Twitch sub/Youtube member), Loot boxes / Gacha",Faster progression,Yes,$1 - $5,No,Faster Progression
2/3/2026 12:48:04,10,Yes,Sometimes,$50,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$15 - 30,No,Sales or Discounts
2/3/2026 13:12:26,10,Yes,Sometimes,$500,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Personalization & Customization,Maybe,$15 - 30,Yes,Faster Progression
2/4/2026 10:51:59,10,Yes,Rarely,$1000+,$45 - $100,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Faster progression,Yes,$40 - $80,Yes,Sales or Discounts
2/4/2026 11:07:01,Post-Graduation/Adult,Yes,Often,$1000+,$45 - $100,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Personalization & Customization,Yes,$40 - $80,Yes,Limited Time Items
2/4/2026 11:17:18,10,Yes,Rarely,None,Nothing,Nothing,I don't spend money on games,Yes,I don't spend money on games,No,Faster Progression
